x,y,r,fill
750,640,5,black
730,620,5,black
710,600,5,black
690,580,5,black
675,560,5,black
663,540,5,black
652,520,5,black
640,500,5,gray
630,480,5,gray
645,470,5,gray
665,470,5,gray
690,470,5,gray
710,470,5,gray
720,478,5,black
730,460,5,black
740,440,5,black
750,420,5,black
763,400,5,black
775,380,5,black
786,360,5,black
800,340,5,black
812,320,5,gray
824,300,5,gray
836,280,5,gray
848,260,5,gray
860,240,5,gray
872,220,5,gray
884,200,5,gray
896,180,5,black
908,160,5,black
920,140,5,black
932,120,5,black
944,100,5,black
